sira,score,tipadi,daire,esasno,esasyil,kararno,karartarihi,kaynak_arama,sinyaller,konu,metin_ozet
11,41,A.İ.H.M.,4,23145,1993,,2003-11-13,gebe+travma,gebe×36 | travma×65 | illiyet×23 | TCK 87/88 | cenin/düşük,ELÇİ VE DİĞERLERİ - TÜRKİYE DAVASI,"(AİHS. m. 3, 5, 8, 25, 35, 41,I NOLU PROTOKOL) (2709 S. K. m. 90, 125)(1136 S. K. m. 58, 59) (1412 S. K. m. 90, 91, 92, 93, 94, 95, 96, 97, 135, 151, 152, 153, 154, 155) (2845 S. K. m. 9, 10) (765 S. K. m. 64, 65, 125, 131, 146, 147, 149, 156, 168, 169, 179, 181, 191, 243, 245) (2577 S. K. m. 13) (8"
12,41,Yargıtay,10,2616,2021,1909,2022-02-15,gebe+illiyet,gebe×4 | travma×15 | illiyet×11 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi: ... Bölge Adliye Mahkemesi 9. Hukuk Dairesi İlk Derece Mahkemesi: ... 5. İş Mahkemesi Dava, iş kazası ölümünden kaynaklanan maddi tazminat istemine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle davanın kabulüne dair verilen karara karşı davalı vekili tarafından isti"
13,41,Yargıtay,CG,197,2019,33,2024-01-24,gebe+travma,gebe×13 | travma×131 | illiyet×18 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,İTİRAZ İtirazname No: 2015/288473 KARARI VEREN YARGITAY DAİRESİ : 12. Ceza Dairesi MAHKEMESİ :Ağır Ceza SAYISI: 100-276 I. HUKUKÎ SÜREÇ Sanık hakkında kasten yaralama sonucu ölüme neden olma suçundan açılan kamu davasında yapılan yargılama sonucunda sanığın eyleminin taksirle bir kişinin ölümüne ned
14,41,Anayasa,1,12753,2015,,2019-05-08,gebe+travma,gebe×76 | travma×45 | illiyet×28 | TCK 87/88 | cenin/düşük,ANAYASA MAHKEMESİNİN 8/5/2019 TARİHLİ VE 2015/12753 SAYILI KARARI (BİREYSEL BAŞVURU),"(AİHS m. 3) (2709 S. K. m. 5, 17, 34) (5237 S. K. m. 86, 87, 256) (5271 S. K. m. 160) (2911 S. K. m. 22, 31) (6216 S. K. m. 50) (Anayasa Mahkemesi İçtüzüğü m. 79) (ANY. MAH. 18.09.2013 T. 2012/969 E.) (ANY. MAH. 17.07.2014 T. 2013/293 E.) (ANY. MAH. 28.09.2016 T. 2014/798 E.) (ANY. MAH. 06.01.2015 T"
15,41,Danıştay,10,4432,2020,5849,2023-10-24,gebe+travma,gebe×16 | travma×24 | illiyet×16 | TCK 87/88 | cenin/düşük,DANIŞTAY KARARI,"T.C. D A N I Ş T A Y ONUNCU DAİRE Esas No : 2020/4432 KararNo : 2023/5849 DAVACI: .... Ltd. Şti. VEKİLLERİ: Av. … Av. … DAVALI: … Bakanlığı / ANKARA VEKİLİ: Hukuk Müşaviri Av. … DAVANIN KONUSU: Davacı tarafından, 15/02/2008 tarih ve 26788 sayılı Resmî Gazete'de yayımlanan Ayakta Teşhis ve Tedavi Yap"
16,41,Yargıtay,CG,247,2020,394,2022-06-02,gebe+illiyet,gebe×4 | travma×122 | illiyet×50 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"Yargıtay Dairesi: Ceza Genel Kurulü Silahlı terör örgütü yöneticisi olma suçundan sanık hakkında ilk derece mahkemesi sıfatıyla yargılama yapan Yargıtay 9. Ceza Dairesince 26.12.2019 tarih ve 76-170 sayı ile; sanığın TCK'nın 314/2, 3713 sayılı Kanun'un 5/1, TCK'nın 221/4, 62, 53, 58/9 ve 63. maddele"
17,41,Yargıtay,CG,427,2019,417,2020-10-15,gebe+illiyet,gebe×12 | travma×48 | illiyet×32 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"Kararı veren Yargıtay Dairesi: Ceza Genel Kurulu Mahkemesi:Ceza Dairesi Sayısı: 91-27 Silahlı terör örgütüne üye olma suçundan sanık ... hakkında ilk derece mahkemesi sıfatıyla yargılama yapan Yargıtay 9. Ceza Dairesince 12.03.2019 tarih ve 91-27 sayı ile; sanığın TCK'nın 314/2, 3713 sayılı Kanun'un"
18,41,Yargıtay,CG,614,2019,199,2021-05-04,gebe+travma,gebe×10 | travma×165 | illiyet×33 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"Kararı Veren Yargıtay Dairesi: 1. Ceza Dairesi Mahkemesi:Ceza Dairesi Sayısı: 3342-3394 Nitelikli kasten öldürme suçundan sanıklar ..., ... ve ...'in TCK'nın 82/1-a, 62/1, 53/1 ve 63. maddeleri uyarınca müebbet hapis cezası ile cezalandırılmasına, hak yoksunluğuna ve mahsuba ilişkin ... 4. Ağır Ceza"
19,41,Yargıtay,CG,59,2021,806,2022-12-15,gebe+travma,gebe×14 | travma×76 | illiyet×58 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,Kararı veren Yargıtay Dairesi: (Kapatılan) 16. Ceza Dairesi Mahkemesi:Ceza Dairesi Sayısı: 628-278 Katılanlar : 1) T.C. ... (Başbakanlık) 2)TBMM Başkanlığı Ankara 19. Ağır Ceza Mahkemesinin 2017/40 Esas sırasına kayden görülmekte iken verilen tefrik kararı sonrasında Ankara 19. Ağır Ceza Mahkemesini
20,41,Yargıtay,3,37483,2022,4897,2024-04-04,gebe+illiyet,gebe×43 | travma×212 | illiyet×27 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ: İzmir Bölge Adliye Mahkemesi 18. Ceza Dairesi SAYISI: 2022/259 E., 2022/949 K. İLK DERECE MAHKEMESİ: İzmir 20. Ağır Ceza Mahkemesi SAYISI: 2018/41 E., 2021/177 K. SUÇ: Anayasal Düzeni ortadan kaldırmaya teşebbüs etme, Türkiye Büyük Millet Meclisini ortadan kaldırmaya veya görevini yapması"
21,40.5,Yargıtay,1,365,2024,5217,2024-07-10,gebe+travma,gebe×9 | travma×108 | illiyet×46 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"T U TU K L U D U R U Ş M A ve T A H L İ Y E T A L E P L İ MAHKEMESİ:Ceza Dairesi SAYISI: 2023/310 E., 2023/494 K. KATILANLAR: ..., ..., ..., ...., N... Ç... (Doğan), ..., ..., ..., ..., ..., .... (Aslan), ..., ..., ..., ..., ..., ..., ..., ..., ..., ... ..., Aslı ... (...), ..., ..., ..., Nimet ...,"
22,40,Yargıtay,10,10290,2023,11555,2023-11-21,gebe+illiyet,gebe×2 | travma×25 | illiyet×11 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi 48. Hukuk Dairesi SAYISI: 2022/2176 E., 2023/909 K. KARAR: Esastan Ret İLK DERECE MAHKEMESİ: ... 35. İş Mahkemesi SAYISI: 2021/158 E., 2022/539 K. Taraflar arasındaki iş kazasından maddi ve manevi tazminat istemi davasından dolayı yapılan yargılama sonunda İlk D"
23,40,Yargıtay,21,3490,2018,3494,2019-05-07,gebe+illiyet,gebe×2 | travma×33 | illiyet×23 | TCK 87/88 | cenin/düşük | trafik/iş kaz,MADDİ VE MANEVİ TAZMİNAT DAVASI - KAZA OLAYININ MEYDANA GELMESİNDE KUSURU BULUNANLAR ARASINDAKİ KUSUR DAĞILIMININ KENDİ ARALARINDA GÖRÜLMESİ MUHTEMEL RÜCU DAVASINDA YENİDEN DEĞERLENDİRİLMESİNİN MÜMKÜN,"(6098 S. K. m. 56, 60, 61, 71) (6331 S. K. m. 4, 5) (4857 S. K. m. 2, 77) &nbsp; Dava ve Karar: Davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. &nbsp; İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine d"
24,40,Yargıtay,21,5922,2018,4411,2019-06-17,gebe+illiyet,gebe×2 | travma×42 | illiyet×23 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: İzmir Bölge Adliye Mahkemesi 9. Hukuk Dairesi MAHKEMESİ: ... İş Mahkemesi TÜRK MİLLETİ ADINA KARAR A)Davacı İstemi; Asıl dosyada davacı ... vekili dava dilekçesinde özetle; ...'un, davacı ...'un eşi olduğunu, 13/05/2014 tarihinde ... ilçesinde ... sahasında davalılardan Türkiye Kömür İşle"
25,40,Yargıtay,10,7072,2020,7833,2020-12-29,gebe+illiyet,gebe×2 | travma×14 | illiyet×11 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi: Bursa Bölge Adliye Mahkemesi 9. Hukuk Dairesi Dava, iş kazasından vefat eden sigortalının hak sahibi eş ve çocuklarının maddi ve manevi zararlarının giderilmesi istemine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle maddi tazminat istemlerinin reddine, manevi tazmin"
26,40,Yargıtay,21,7144,2018,4774,2019-06-27,gebe+illiyet,gebe×2 | travma×42 | illiyet×23 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi 9. Hukuk Dairesi Davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davacılar ile davalılardar ... Genel Müdürlüğü ve"
27,40,Yargıtay,21,6769,2018,4409,2019-06-17,gebe+illiyet,gebe×2 | travma×42 | illiyet×23 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi 9. Hukuk Dairesi Davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davacılardan ..., ... ve ... (...) ... ile davalı"
28,40,Yargıtay,10,10115,2021,15848,2022-12-13,gebe+travma,gebe×2 | travma×20 | illiyet×14 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"Bölge Adliye Mahkemesi : ... Bölge Adliye Mahkemesi 9. Hukuk Dairesi No : Dava, iş kazasından sigortalının vefatı nedeniyle hak sahiplerinin maddi ve manevi zararlarının giderilmesi istemine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle davanın reddine dair verilen karara karş"
29,40,Yargıtay,10,11687,2020,4203,2021-03-30,gebe+illiyet,gebe×2 | travma×14 | illiyet×17 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi: .... Bölge Adliye Mahkemesi 8. Hukuk Dairesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle davanın kısmen kabulüne dair verilen karara karşı ... vekili tarafından istinaf yoluna başvurulması üzerine, "
30,39.5,Yargıtay,21,59,2018,458,2018-01-23,gebe+illiyet,gebe×1 | travma×36 | illiyet×17 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... İş Mahkemesi K A R A R A)Davacı İstemi; Davacılar vekili dava dilekçesi ile müvekkillerinin murisinin 13/05/2014 tarihinde meydana gelen ... maden kazasında vefat ettiğini, davalıların kusurlu olduklarını, davacıların bu olay nedeniyle zarara uğradıklarını ileri sürerek davacı eş için"
31,39.5,Danıştay,5,57159,2016,4586,2020-10-22,hamile+düşük,gebe×7 | travma×24 | illiyet×15 | TCK 87/88 | cenin/düşük,DANIŞTAY KARARI,"T.C. D A N I Ş T A Y BEŞİNCİ DAİRE Esas No : 2016/57159 Karar No : 2020/4586 DAVACI : ... VEKİLİ: Av. ... DAVALI: ... Kurulu / ... VEKİLİ: Av. ... DAVANIN KONUSU:Davacının, 667 sayılı Olağanüstü Hal Kapsamında Alınan Tedbirlere İlişkin Kanun Hükmünde Kararname'nin 3/1. maddesi uyarınca FETÖ ile ilti"
32,39.5,Yargıtay,21,4601,2017,7189,2017-10-03,gebe+illiyet,gebe×1 | travma×28 | illiyet×14 | TCK 87/88 | cenin/düşük | trafik/iş kaz,TAZMİNAT DAVASI - ÖLÜMLÜ İŞ KAZASI - ÖLENLERİN OLAYDA HİÇ KUSURLARININ BULUNMADIĞI - KUSURLU OLANLAR ARASINDAKİ KUSUR DAĞILIMININ KENDİ ARALARINDAKİ RÜCU DAVASINDA DEĞERLENDİRİLEBİLECEĞİ - DEDE VE BAB,"(4721 S. K. m. 4) (5510 S. K. m. 13) (6331 S. K. m. 4, 5, 10, 19) (6098 S. K. m. 56, 60, 61, 71, 163, 417) (818 S. K. m. 47, 53, 142, 332) (6102 S. K. m. 209) (4857 S. K. m. 2, 77) (6100 S. K. m. 26, 209, 282, 307, 309, 310, 311) (YİBK. 22.6.1966 T. 1966/7 E. 1966/7 K.) (YHGK. 24.12.2014 T. 2014/21-"
33,39.5,Yargıtay,21,4908,2017,8118,2017-10-23,gebe+illiyet,gebe×1 | travma×39 | illiyet×17 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi K A R A R A)Davacı İstemi; Davacılar vekili dava dilekçesi ile müvekkillerinin murisinin 13/05/2014 tarihinde meydana gelen ... maden kazasında vefat ettiğini, davalıların kusurlu olduklarını, davacıların bu olay nedeniyle zarara uğradıklarını ileri sürerek davacı e"
34,39.5,Yargıtay,10,6953,2025,15760,2025-11-19,gebe+illiyet,gebe×1 | travma×11 | illiyet×11 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi 3. Hukuk Dairesi SAYISI: 2022/1397 E., 2024/391 K. İLK DERECE MAHKEMESİ: ... 11. İş Mahkemesi SAYISI: 2019/446 E., 2022/140 K. Bölge Adliye Mahkemesi kararı, davalı vekili tarafından temyiz edilmekle; kesinlik, süre, temyiz şartı ve diğer usul eksiklikleri yönün"
35,39,Yargıtay,CG,416,2018,669,2022-10-26,gebe+illiyet,gebe×6 | travma×367 | illiyet×33 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"Yargıtay Dairesi: (Kapatılan) 16. Ceza Dairesi Sanıklar ..., ... ve ...'ün kasten öldürmeye yardım etme suçundan TCK'nın 81/1, 3713 sayılı Kanun'un 5/1, TCK'nın 39/2-a-c, 62, 53, 58/9 ve 63. maddeleri uyarınca 14 yıl 2 ay hapis; sanık ...'ün Devletin birliğini ve ülke bütünlüğünü bozma suçundan TCK'"
36,39,Anayasa,1,5075,2018,,2022-03-15,gebe+travma,gebe×6 | travma×61 | illiyet×29 | TCK 87/88 | cenin/düşük,ANAYASA MAHKEMESİNİN 15/3/2022 TARİHLİ VE 2018/5075 SAYILI KARARI (BİREYSEL BAŞVURU),"(AİHS m. 1, 2) (2709 S. K. m. 5, 17) (3194 S. K. m. 30, 31, 32) (5393 S. K. m. 15, 48) (5216 S. K. m. 7) (5237 S. K. m. 7, 85, 257) (765 S. K. m. 102, 104, 228, 230) (5271 S. K. m. 223, 231) (6216 S. K. m. 50) (İşyeri Açma ve Çalışma Ruhsatlarına İlişkin Yönetmelik m. 4, 5, 6, 15, 17, 18, 21, 24) (T"
37,38.8,Yargıtay,10,3121,2022,7259,2022-05-17,gebe+illiyet,gebe×2 | travma×14 | illiyet×9 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi : ... Bölge Adliye Mahkemesi 9. Hukuk Dairesi Mahkemesi : Diyarbakır 6. İş Mahkemesi Dava, İş kazasından kaynaklanan maddi ve manevi tazminat istemine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle davanın kısmen kabulüne dair verilen karara karşı davacı ve davalılard"
38,38.8,Yargıtay,CG,165,2020,273,2021-06-10,gebe+travma,gebe×8 | travma×225 | illiyet×9 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"Kararı Veren Yargıtay Dairesi: 1. Ceza Dairesi Mahkemesi:Ceza Dairesi Sayısı: 3575-3263 Olası kasıtla öldürme suçundan sanık ...'ın TCK'nın 81/1, 21/2, 53, 63 ve 54. maddeleri uyarınca 22 yıl hapis cezası ile cezalandırılmasına, hak yoksunluğuna, mahsuba ve müsadereye ilişkin ... 1. Ağır Ceza Mahkem"
39,38.6,Danıştay,10,6306,2019,4040,2020-10-21,gebe+illiyet,gebe×28 | travma×6 | illiyet×11 | cenin/düşük | obstetrik komp.,DANIŞTAY KARARI,"T.C. D A N I Ş T A Y ONUNCU DAİRE Esas No : 2019/6306 KararNo : 2020/4040 TEMYİZ EDEN (DAVACI): . VEKİLİ: Av. .. TEMYİZ EDEN (DAVALI): . Bakanlığı VEKİLİ: Av. .. TEMYİZ EDEN MÜDAHİL (DAVALI YANINDA): . VEKİLİ: Av. .. İSTEMLERİN_KONUSU: . İdare Mahkemesinin . tarih ve E:., K:. sayılı kararının tarafl"
40,38.5,Anayasa,GK,1,2008,2-3,2008-07-30,gebe+travma,gebe×5 | travma×63 | illiyet×51 | TCK 87/88 | cenin/düşük,ADALET VE KALKINMA PARTİSİ KARARI 2008/1 E. 2008/2 K. (3. BÖLÜM),"***NOT: ANAYASA MAHKEMESİ'NİN E: 2008/1 (SİYASİ PARTİ KAPATMA), K: 2008/2 SAYILI KARARI OLAĞANÜSTÜ UZUNLUĞU NEDENİYLE 1. BÖLÜMÜ 2008/2-1, 2. BÖLÜMÜ 2008/2-2, 3. BÖLÜMÜ 2008/2-3 VE 4. BÖLÜMÜ 2008/2-4 KARAR NO'SU İLE OLMAK ÜZERE DÖRT PARÇA HALİNDE PROGRAMA GİRİLMİŞTİR. KARARIN DİĞER PARÇALARINI GÖRMEK"
41,38.5,Anayasa,GK,1,2008,2-2,2008-07-30,gebe+illiyet,gebe×5 | travma×46 | illiyet×101 | TCK 87/88 | cenin/düşük,ADALET VE KALKINMA PARTİSİ KARARI 2008/1 E. 2008/2 K. (2. BÖLÜM),"***NOT: ANAYASA MAHKEMESİ'NİN E: 2008/1 (SİYASİ PARTİ KAPATMA), K: 2008/2 SAYILI KARARI OLAĞANÜSTÜ UZUNLUĞU NEDENİYLE 1. BÖLÜMÜ 2008/2-1, 2. BÖLÜMÜ 2008/2-2, 3. BÖLÜMÜ 2008/2-3 VE 4. BÖLÜMÜ 2008/2-4 KARAR NO'SU İLE OLMAK ÜZERE DÖRT PARÇA HALİNDE PROGRAMA GİRİLMİŞTİR. KARARIN DİĞER PARÇALARINI GÖRMEK"
42,38.5,Yargıtay,CG,183,2017,19,2022-01-13,gebe+illiyet,gebe×5 | travma×71 | illiyet×13 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"Yargıtay Dairesi : 1. Ceza Dairesi Temyiz Edenler : Sanıklar müdafileri, Cumhuriyet savcısı, katılanlar vekili Sanıklar ... ve ...'ın tasarlayarak kasten öldürme suçuna yardımdan TCK'nın 39/1 maddesi delaletiyle 82/1-a, 21/2, 39/2-b yollaması ile 39/1, 53, 62, 63. maddeleri uyarınca 8 yıl 4'er ay ha"
43,38.4,A.İ.H.M.,3,33401,2002,,2009-06-09,hamile+düşük,gebe×4 | travma×102 | illiyet×7 | TCK 87/88 | cenin/düşük | aile içi,OPUZ - TÜRKİYE DAVASI,"(AİHS m. 2, 3, 5, 6, 8, 13, 14, 19, 29, 34, 35, 36, 41, 44) (Kadınlara Karşı Her Türlü Ayrımcılığın Önlenmesine Dair Sözleşme m. 1, 2, 3, 5, 10) (765 S. K. m. 59, 188, 191, 449, 456, 457, 460) (4320 S. K. m. 1, 2) (Ailenin Korunmasına Dair Kanunun Uygulanması Hakkında Yönetmelik m. 1) ( KENAR - TÜRK"
44,38.4,A.İ.H.M.,A.İ.H.M.,54969,2009,,2019-06-25,gebe+travma,gebe×124 | travma×9 | illiyet×20 | TCK 87/88 | obstetrik komp.,MEHMET ULUSOY VE DİĞERLERİ - TÜRKİYE DAVASI,"(AİHS m. 1, 3, 6, 8, 17, 35, 41, 44) (2659 S. K. m. 23) (2577 S. K. m. 20, 31) (1086 S. K. m. 227) (1219 S. K. m. 72, 73) (Yataklı Tedavi Kurumları İşletme Yönetmeliği m. 32) (Acil Sağlık Hizmetleri Yönetmeliği m. 34) (Devlet Arşiv Hizmetleri Yönetmeliği m. 4, 5, 17) (15. DD. 27.05.2014 T. 2013/4101"
